ID,orderDate,title,newsletter,websiteDesign,paymentMethod,couponDiscount,purchaseValue,giftwrapping,throughAffiliate,shippingFees,dvd,blueray,vinyl,videogame,videogameDownload,tvEquiment,prodOthers,prodRemitted,prodSecondHand,returnCustomer
1,12/23/14,Mr,0,2,Current Account,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0
3,9/10/14,Mr,0,1,Invoice,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,8/30/14,Mr,0,1,Cash,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1/12/15,Mr,0,3,Cash,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
8,9/26/14,Mr,0,3,Cash,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0
9,7/17/14,Mr,0,1,Credit Card,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0
10,8/24/14,Mr,1,1,Invoice,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1/11/15,Mrs,0,2,Invoice,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0
12,4/23/14,Company,1,2,Current Account,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
13,10/4/14,Mr,0,2,Cash,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
14,5/28/14,Mrs,0,2,Invoice,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0
15,10/24/14,Mr,0,3,Current Account,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0
16,4/24/14,Company,0,1,Credit Card,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0
17,12/30/14,Mr,0,1,Invoice,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
18,1/11/15,Mrs,0,1,Credit Card,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
19,12/10/14,Mrs,0,1,Invoice,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,8/6/14,Mr,0,1,Invoice,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
21,10/25/14,Mr,1,3,Credit Card,0,5,0,1,0,4,0,0,0,0,0,0,0,0,0
22,11/11/14,Mr,0,3,Cash,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0
24,1/21/15,Mr,0,3,Invoice,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0
25,5/5/14,Others,0,1,Current Account,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0
26,5/17/14,Company,0,3,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
27,9/21/14,Mr,0,3,Invoice,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
28,6/8/14,Mrs,0,1,Current Account,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0
29,9/15/14,Mr,0,1,Invoice,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31,5/13/14,Company,0,3,Credit Card,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1
32,11/18/14,Mr,0,1,Current Account,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
33,12/19/14,Mrs,0,1,Invoice,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1
35,7/3/14,Others,0,2,Invoice,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,10/22/14,Mr,0,3,Invoice,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0
